bangla_speech,english_speech,dialect
মোর মুবাইল নাম্বার ব্লক খরি দেয়,Block my phone number,Sylhet
ব্যাপারডা হাসাইয়ো চিন্তার,This is really worrying,Barishal 
বাসত নামিবার ফরেদি সকাল অইগিয়ি,"When he got off the bus, it was morning",Chittagong
"বাস থাইক্কা যহন নামলেন, তহন সকাল হয়া গেসে","When he got off the bus, it was morning",Mymensingh
"বাস তুন যন নামছে, তন সকাল অই গেছে","When he got off the bus, it was morning",Noakhali
"বাস তাকি যখন নামছিলা, তখন সকাল ওই গেছিল","When he got off the bus, it was morning",Sylhet
হ্যায় কহনো মোর ধারে মোর সামর্থের বায়রায় কিছুই চায় নাই,He never asked me for anything beyond my capacity,Barishal 
তোঁয়ারা বান্দুবিওক্কল বেজ্ঞুন বর মেদাবি,All your friends are very talented,Chittagong
তোমার বন্ধুরা বেহেই মেলা মেধাবী,All your friends are very talented,Mymensingh
তোয়ার বন্দুগুন বেকে মেদাবি,All your friends are very talented,Noakhali
তুমার বন্ধুরা হখল অউ খুব মেধাবী,All your friends are very talented,Sylhet
ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ,They had been in love since their school days,Barishal 
আই আর সাধ্য মত চেষ্টা গরি বাফোর হোয হোবর লইবেল্লাই,I try my best to find out about father,Chittagong
আমি আমার সাধ্য অনুযায়ী চেষ্টা করি আব্বার খোঁজ খবর নিতে,I try my best to find out about father,Mymensingh
আই আর সাধ্য অনুযায়ী চেষ্টা করি বাপের খোঁজ খবর নিতে,I try my best to find out about father,Noakhali
মুই  মোর সাইদ্ধ অনুযায়ী চেষ্টা খরিয়া আব্বার খোজ খবর নিতাম,I try my best to find out about father,Sylhet
এই বাড়িউজ্ঞা মোগো,This house is ours,Barishal 
বাসাত গরি তারে রউনা দন ফইজ্জে,He had to leave by bus,Chittagong
বাসে কইরাই হের রওনা দিতে হইলো,He had to leave by bus,Mymensingh
বাসে করিই হেতের রওনা দেন লাইগলো,He had to leave by bus,Noakhali
বাসও কইরাউ তাঁন রওয়ানা দেওয়া লাগলো,He had to leave by bus,Sylhet
বার্সেলোনা ফুটবল কেলাব খুব জনপ্রিয়,Barcelona football club is very popular,Barishal 
আস্সান অর নিল রং ইবা অসাদারন,The blue color of the sky is amazing,Chittagong
আকাশের নীল রঙডা অসাধারণ,The blue color of the sky is amazing,Mymensingh
আকাশের নীল রঙগা অসাধারণ,The blue color of the sky is amazing,Noakhali
আকাশ ওর নীল রঙটা অসাধারণ ,The blue color of the sky is amazing,Sylhet
এতোডি সংসারে গ্যাঞ্জাম দেইকখা পোস্ট করা,Posting after seeing so many problems in the world,Barishal 
এরিম্মা কিছু কইজ্জুম যে ইতার হাছে আরে নো যাওয়া লাগে,I will do something so that I don't have to go to him,Chittagong
এমন কিসু করবাম যাতে হের কাসে আমার না যাইতে হয়,I will do something so that I don't have to go to him,Mymensingh
এরুম কিছু কইরগুম যাতে হেতার কাছে আরে না যাইতে অয়,I will do something so that I don't have to go to him,Noakhali
অলান কিচ্ছু খরমু যাতে তার ধারে মোর যাওয়া না লাগে ,I will do something so that I don't have to go to him,Sylhet
মোর যে ব্যথা লাগছে হেইয়া ভুঝি কিছু না,The pain I felt was nothing,Barishal 
তোয়ার ফ্রিয় গায়ক হন?,Who is your favorite singer?,Chittagong
তোমার প্রিয় গায়ক কেডা?,Who is your favorite singer?,Mymensingh
তোয়ার ফ্রিয় গায়ক কে,Who is your favorite singer?,Noakhali
তুমিতাইন ওর কোন গায়করে বেশি বালা লাগে?,Who is your favorite singer?,Sylhet
তোমার মাইয়া মোর কোলে আইয়া খালি তোমারে খোঁজে মনে হয়,Your daughter seems to come to my arms only looking for you,Barishal 
