Standard_Bangla,English_translation
তুই ছেলেকে চা বানিয়ে খাওয়াতে পারবি,Can you make tea and serve it to the boy?
আমি বললাম না চা দরকার নেই,I said I don't need tea.
আমি বললাম আমি ভাত খাবো,I said I will eat rice.
লোক বলেন তাহলে তুই ভিতরে থাক,"People say, 'So you stay inside.'"
আমি বললাম কি তরকারি হবে,I asked what vegetable dish would be made.
পায়ের হাড্ডি ভেঙ্গে ফেলবো তোর,I will break your legs.
মিওমিও করে কি পড়া,Does 'miomio mio' read like 'meow meow'?
বড় বড় করে পড়,Read it aloud/Read it clearly/Read it in a big voice.
মরিচ একটা দৌড়ে ধরিস,Catch the chili in a run.
বেয়াদব বিয়াল্লিশ কাথা ভরে পায়খানা করে দিস,"You impudent forty-two, fill it up with feces!"
একটা মুরগির বাচ্চা,A chick
বাড়িতে যাস কেন ঝাটার বাড়ি খাস কেন,Why do you go home? Why do you eat at the broom-maker's house?
বাড়িতে গেলে ফার্মের মুরগি খায় না কেন,Why don't farm chickens eat when they are brought home?
মারার ধান্দা সেটা আর কিছু না,The motive for the murder was nothing special.
কাজের মহিলার মত কাজ করে যে সংসার সামলায়,She works like a working woman who manages a household.
দেশি মুরগি নিজে কিনে তো খেতে পারবে না,You can't even afford to buy and eat a local chicken yourself.
মিথ্যা বলি নাকি ভাই,"Should I lie, brother?"
তুই কেন চেতে গেছিস,Why did you wake up?
ভাই আরেকটা উল্টো কথা না বলে,"Brother, please don't say another contradictory thing."
বিষের জন্য বলতে পারে না,Unable to speak due to poison.
জামাই দেশি মুরগি নিজের টাকায় খায় না,The son-in-law doesn't eat country chicken at his own expense.
কি দরকার পড়েছে নিজের টাকা দিয়ে দেশি মুরগি খাওয়ার,What was the need to buy local chicken with your own money?
বাড়িতে নিয়ে যেয়ে দেশি মুরগি খাওয়াতে না পাড়লে চট্টগ্রামের ছেলের ঘর করতে পরত না,A boy from Chittagong wouldn't get married until he could afford to take his bride home and feed her native chicken.
সারাজীবন পান্তা ভাত দিয়ে মরিচ খেয়েছে তো,"So, you've been eating chilies with panta bhat your whole life?"
এটি আমিও বুঝলাম না,I didn't understand that either.
আমার জামাইকে তো কান ধরে এনে বলবো,I'll have to bring my son-in-law here by the ears and make him listen.
বউয়ের ভয়ে খাই ভাই,"I eat out of fear of my wife, brother."
ফ্রাই করে দিলে জামাই না জামাইয়ের বাবা দাদাও খাবে,"If you fry it, even the son-in-law's father and grandfather will eat it."
তোমার মা বাবা কিপটে,Your parents are stingy.
জামাই বলে কথা যেমন তেমন খাবার খেতে পারে না,A son-in-law doesn't eat just any food; he's a picky eater.
জীবনে দেশি মুরগি খায় নি যে বিয়ে করবে দেশি মুরগি খাওয়ার জন্য,Someone who has never eaten native chicken in their life will get married just to eat native chicken.
কেউ জানলে বলুন,"If anyone knows, please let me know."
ঘাসফড়িং তুরুৎ তুরুৎ লাফ,The grasshopper jumps chirp chirp.
