Sentence,English Translation, Labels
ক্যালোরি খুব অল্প,Very few calories,Narail
বইটি ফেরত দিন,Return the book.,Narail
কম্পিউটারডা বন্ধ হইররো,Turn off the computer.,Barisal
ওর লগে বেশি কথা কইস না,Don’t talk too much with him.,Khulna
তুমি সয়ত্যই আ্যাকছের মেধাবী,You are really very talented.,Barisal
কফি খাবু না কি চা,Will you have coffee or tea?,Rangpur
আমি বাড়ি ফিরতে দেরি হইবো,I’ll be late returning home.,Khulna
আবার কও,say it again,Barisal
হামার একনা হাতি দিবার নাগিবে,I need you to give me one elephant now.,Rangpur
তোমার পরোইন্না জায়গাডা পরিস্কার হরো,Clean your study area.,Barisal
আপনি কি আবার ঘুরি দেখবেন,Will you see the scenery again?,Khulna
মা ভাত দে আসতি,"Mom, give me rice, I’m coming to eat.",Khulna
একটু রও দিহি,keep calm,Barisal
সারাদিন কাম করে সন্ধ্যার পর সেই একটু স্বস্তির নিঃশ্বাস ফেলেছিল,"After working all day, I breathed a sigh of relief in the evening.",Narail
তোমরায় কনতো,You said.,Rangpur
এটে কোনা ডাইলোক না মারাইস,Don't make dialogue here.,Rangpur
তুই কি খেলাধুলা করতি,Do you play sports?,Khulna
চলো হাডি একটু,"Come on, walk a little.",Barisal
তোমা কি কোরিয়ান খাবার লাইক করেন নাকি,Do you like Korean food or not?,Rangpur
দয়া হইর্রা একটু সাহায্য হইর্রেন,Please help me.,Barisal
হেয় বেশি উচা না,It’s not too high.,Barisal
ওরে শান্তি,Oh peace!,Khulna
এলা তুই কোটে,Where are you now?,Rangpur
তুই একজন ভালো নেতা,You are a good leader.,Rangpur
তোর মা মারছে,Your mother is pouring,Barisal
আরে আমি তো অবাক হুই গিছি,I am shocked!,Khulna
বাহ তুই সেরা,Wow! You are the best!,Rangpur
মোর ডেনা ব্যথা করতেয়াছে,My teeth hurt.,Barisal
আমাকে সময়ে জানাও,Let me know in time.,Narail
এটা পড়ে মোর লজ্জা লাগছে,I feel embarrassed reading this!,Narail
এতো মাত্রাতিরিক্ত বৃষ্টি শুরু হয়লো,Such heavy rain has started!,Narail
ক্যাম্মে বুঝাইতে হইবে,How to understand?,Barisal
বাহ তুমি অনেক ব্রেনী,Wow! You are really talented!,Barisal
যাওয়ার কালে কোমমে গেছিলি,Where did you go at the time of leaving,Barisal
মুই ভালো ব্যাবহার করচোং দেখি মোক দূর্বল ভাবিস না,"I am behaving well, see, don’t think I am weak.",Rangpur
বইখান কারটে আনলু,Who did you get the book from?,Rangpur
মোগো বাড়ি লালমনিরহাট,Our house is Lalmonirhat,Barisal
এডা সত্যিই হতাশাজনক,This is really disappointing.,Khulna
তুমি কি ঘুমাইতাছো,are you sleeping,Barisal
তোর কাজ করার কায়দা মেলা সুন্দর,I really like your style of work.,Rangpur
রাস্তাত মেলা মানুষ,The streets are very crowded.,Rangpur
কি আজব কথা,How strange!,Rangpur
থোতমায় থাবড় মারুম,I will Hit on the face,Barisal
তুমি কোম্মে কাম হরো,where do you work,Barisal
কেমনে আসলি এত তাড়াতাড়ি,How did you come so fast?,Rangpur
এই গাড়িউগ্গা আ্যাকছের জোরে চলে,This car is very fast.,Barisal
গরুটারে ঘাস খাওয়াইছস,Did you feed the cow grass?,Khulna
মেলা অসায় বোধ করতেআছি,I feel helpless.,Barisal
বাহ সত্যি তুমি তো অনেক মেধাবী,"Wow, you are so talented.",Khulna
হায় হায় মুই ভুলি গেছনু,Oh my! I forgot!,Rangpur
স্কুল ছুটি দিবে কোয়ান্নে,When will the school close?,Narail
দয়া কুরি জালনাডা বন্ধ করো,Please close the window,Khulna
ঘরডা দেইখা খুব শান্তি লাগে,Looking at the house feels so peaceful!,Khulna
তুমি কি মোর লাইগ্যা অপেক্ষা হরছো,are you waiting for me,Barisal
শিক্ষাগত মূল্যায়ন জ্ঞান দক্ষতা উভয় পরিমাপ করহা উচিত,Educational assessment should measure both knowledge and skills.,Narail
হামার শহর কোনা মেলা বড়,Our city is very big.,Rangpur
তুমি কি এই বিষয় আরো জানো,Do you want to know more about this topic?,Khulna
তোমার না ছোয়াটার বিয়াও নাগাবেন,Aren’t you going to get your child married,Rangpur
টেবিলটা পরিষ্কার করো,Clean the table.,Narail
তুমি কি গান করতে ভালোবাসো,Do you love singing?,Narail
সইত্যই এডা সম্ভাব হইছে,Really! It is possible!,Barisal
তুই কি পুন্ন ফ্লিম দেখতি ভালবাসিস,Do you like watching new films?,Khulna
আরব নাবিকেরা এর বিকৃত নাম দেয় কালাম্বু,Arab sailors gave it the distorted name Kalambu.,Narail
